封皮,详情,电影名,导演主演,类型,评分,一句话评价
https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,https://movie.douban.com/subject/21937445/,辩护人,"
                            导演: 杨宇硕 Woo-seok Yang&nbsp;&nbsp;&nbsp;主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...","
                            2013&nbsp;/&nbsp;韩国&nbsp;/&nbsp;剧情
                        ",9.2,电影的现实意义大过电影本身。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,https://movie.douban.com/subject/1292000/,搏击俱乐部,"
                            导演: 大卫·芬奇 David Fincher&nbsp;&nbsp;&nbsp;主演: 爱德华·诺顿 Edward Norton / 布拉...","
                            1999&nbsp;/&nbsp;美国 德国&nbsp;/&nbsp;剧情 动作 悬疑 惊悚
                        ",9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
https://img9.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg,https://movie.douban.com/subject/1295038/,哈利·波特与魔法石,"
                            导演: Chris Columbus&nbsp;&nbsp;&nbsp;主演: Daniel Radcliffe / Emma Watson / Rupert Grint","
                            2001&nbsp;/&nbsp;美国 英国&nbsp;/&nbsp;奇幻 冒险
                        ",9.0,童话世界的开端。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,https://movie.douban.com/subject/1291548/,死亡诗社,"
                            导演: 彼得·威尔 Peter Weir&nbsp;&nbsp;&nbsp;主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...","
                            1989&nbsp;/&nbsp;美国&nbsp;/&nbsp;剧情
                        ",9.1,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,https://movie.douban.com/subject/1299131/,教父2,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola&nbsp;&nbsp;&nbsp;主演: 阿尔·帕西诺 A...","
                            1974&nbsp;/&nbsp;美国&nbsp;/&nbsp;剧情 犯罪
                        ",9.2,优雅的孤独。
{{= img}},https://movie.douban.com/subject/1900841/,窃听风暴,"
                            导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck&nbsp;&nbsp;&n...","
                            2006&nbsp;/&nbsp;德国&nbsp;/&nbsp;剧情 悬疑
                        ",9.1,别样人生。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg,https://movie.douban.com/subject/1301753/,狮子王,"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff&nbsp;&nbsp;&nbsp;主演: 乔纳森·泰勒·托马...","
                            1994&nbsp;/&nbsp;美国&nbsp;/&nbsp;动画 冒险 歌舞
                        ",9.0,动物版《哈姆雷特》。
https://img9.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,https://movie.douban.com/subject/1291572/,指环王2：双塔奇兵,"
                            导演: 彼得·杰克逊 Peter Jackson&nbsp;&nbsp;&nbsp;主演: 伊利亚·伍德 Elijah Wood / 西恩...","
                            2002&nbsp;/&nbsp;美国 新西兰&nbsp;/&nbsp;剧情 动作 奇幻 冒险
                        ",9.1,承前启后的史诗篇章。
https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,https://movie.douban.com/subject/26752088/,我不是药神,"
                            导演: 文牧野 Muye Wen&nbsp;&nbsp;&nbsp;主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...","
                            2018&nbsp;/&nbsp;中国大陆&nbsp;/&nbsp;剧情 喜剧
                        ",9.0,对我们国家而言，这样的电影多一部是一部。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,https://movie.douban.com/subject/1418019/,大闹天宫,"
                            导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang&nbsp;&nbsp;&nbsp;主演: 邱岳峰 Yuefeng Qiu /...","
                            1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆)&nbsp;/&nbsp;中国大陆&nbsp;/&nbsp;动画 奇幻
                        ",9.3,经典之作，历久弥新。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,https://movie.douban.com/subject/1293350/,两杆大烟枪,"
                            导演: Guy Ritchie&nbsp;&nbsp;&nbsp;主演: Jason Flemyng / Dexter Fletcher / Nick Moran","
                            1998&nbsp;/&nbsp;英国&nbsp;/&nbsp;剧情 喜剧 犯罪
                        ",9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,https://movie.douban.com/subject/1291571/,指环王1：魔戒再现,"
                            导演: 彼得·杰克逊 Peter Jackson&nbsp;&nbsp;&nbsp;主演: 伊利亚·伍德 Elijah Wood / 西恩...","
                            2001&nbsp;/&nbsp;新西兰 美国&nbsp;/&nbsp;剧情 动作 奇幻 冒险
                        ",9.0,传说的开始。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,https://movie.douban.com/subject/1292224/,飞越疯人院,"
                            导演: 米洛斯·福尔曼 Miloš Forman&nbsp;&nbsp;&nbsp;主演: 杰克·尼科尔森 Jack Nichols...","
                            1975&nbsp;/&nbsp;美国&nbsp;/&nbsp;剧情
                        ",9.1,自由万岁。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,https://movie.douban.com/subject/1306029/,美丽心灵,"
                            导演: 朗·霍华德 Ron Howard&nbsp;&nbsp;&nbsp;主演: 罗素·克劳 Russell Crowe / 艾德·哈...","
                            2001&nbsp;/&nbsp;美国&nbsp;/&nbsp;传记 剧情
                        ",9.0,爱是一切逻辑和原由。
